title,price,manufacturer,category,fuel_type,fiscal_horsepower,transmission,mileage,year,insertion_date,age,price_per_km,price_per_horsepower
Audi S3,128000.0,Audi,City,Petrol,19.0,Automatic,120000.0,2014,2024-02-26,10,1.0666666666666667,6736.8421052631575
Mahindra Scorpio Pick-up DC,32000.0,Mahindra,Pickup,Diesel,7.0,Manual,85000.0,2020,2024-02-26,4,0.3764705882352941,4571.428571428572
Fiat Doblo,56000.0,Fiat,Minivan,Petrol,6.0,Manual,32000.0,2021,2024-02-26,3,1.75,9333.333333333334
Ford Fusion,45000.0,Ford,Sedan,Petrol,9.0,Manual,200000.0,2015,2024-02-26,9,0.225,5000.0
MG GS AWD 2.0,61000.0,MG,SUV,Petrol,13.0,Automatic,100000.0,2017,2024-02-26,7,0.61,4692.307692307692
BMW Série 7 Individuel,45000.0,BMW,Sedan,Petrol,22.0,Automatic,300000.0,2008,2024-02-26,16,0.15,2045.4545454545455
Mercedes-Benz GLC Coupé 200 hybrid,450000.0,Mercedes,SUV,Hybrid Petrol,11.0,Automatic,101000.0,2024,2024-02-26,0,4.455445544554456,40909.09090909091
Geely GC6,35000.0,Geely,Sedan,Petrol,6.0,Manual,49000.0,2020,2024-02-26,4,0.7142857142857143,5833.333333333333
Porsche Cayenne GTS,326000.0,Porsche,SUV,Petrol,33.0,Automatic,79000.0,2016,2024-02-26,8,4.1265822784810124,9878.787878787878
Dongfeng S50,44000.0,Dongfeng,Sedan,Petrol,6.0,Manual,91000.0,2019,2024-02-26,5,0.4835164835164835,7333.333333333333
Mercedes-Benz Classe S S350. Toit ouvrant,98000.0,Mercedes,Sedan,Petrol,19.0,Automatic,147000.0,2009,2024-02-26,15,0.6666666666666666,5157.894736842105
Mercedes-Benz GLC Coupé 300e,248000.0,Mercedes,SUV,Hybrid Petrol,10.0,Automatic,32000.0,2021,2024-02-26,3,7.75,24800.0
Volkswagen Golf 7 Highline,76000.0,Volkswagen,Compact,Petrol,6.0,Automatic,125800.0,2018,2024-02-26,6,0.604133545310016,12666.666666666666
Volkswagen Golf 7,59900.0,Volkswagen,City,Petrol,6.0,Automatic,170000.0,2019,2024-02-26,5,0.3523529411764706,9983.333333333334
Ford Figo,23000.0,Ford,City,Petrol,5.0,Manual,152000.0,2014,2024-02-26,10,0.1513157894736842,4600.0
Land Rover Discovery,132000.0,Land Rover,SUV,Diesel,11.0,Automatic,108000.0,2015,2024-02-26,9,1.2222222222222223,12000.0
Fiat Doblo,31000.0,Fiat,Utility,Diesel,5.0,Manual,99000.0,2019,2024-02-26,5,0.31313131313131315,6200.0
Nissan Juke Nouveau modèle,74000.0,Nissan,SUV,Petrol,6.0,Manual,60000.0,2021,2024-02-26,3,1.2333333333333334,12333.333333333334
Land Rover Range Rover Evoque R DYNAMIC S,199000.0,Land Rover,SUV,Petrol,12.0,Automatic,77000.0,2020,2024-02-26,4,2.5844155844155843,16583.333333333332
Fiat Fiorino,39000.0,Fiat,Utility,Diesel,5.0,Manual,26500.0,2022,2024-02-26,2,1.471698113207547,7800.0
Mercedes-Benz Classe E,36000.0,Mercedes,Sedan,Petrol,10.0,Automatic,276000.0,2003,2024-02-26,21,0.13043478260869565,3600.0
Volkswagen Jetta,34000.0,Volkswagen,Sedan,Diesel,6.0,Manual,349000.0,201,2024-02-26,1823,0.09742120343839542,5666.666666666667
Mercedes-Benz Classe C KIT AMG,175600.0,Mercedes,Sedan,Petrol,8.0,Automatic,128000.0,2019,2024-02-26,5,1.371875,21950.0
Mercedes-Benz Classe A 250e,165000.0,Mercedes,Utility,Hybrid Petrol,6.0,Automatic,50000.0,2021,2024-02-26,3,3.3,27500.0
Mercedes-Benz Classe C,98000.0,Mercedes,City,Petrol,8.0,Automatic,123000.0,2016,2024-02-26,8,0.7967479674796748,12250.0
Mahindra KUV 100,35900.0,Mahindra,SUV,Petrol,5.0,Manual,26000.0,2022,2024-02-26,2,1.3807692307692307,7180.0
Volkswagen Golf 8 conforline,116500.0,Volkswagen,Sedan,Petrol,8.0,Manual,47000.0,2020,2024-02-26,4,2.478723404255319,14562.5
Land Rover Discovery Sport,118000.0,Land Rover,SUV,Diesel,8.0,Automatic,94000.0,2016,2024-02-26,8,1.2553191489361701,14750.0
Renault Megane,74500.0,Renault,City,Petrol,7.0,Automatic,46000.0,2021,2024-02-26,3,1.6195652173913044,10642.857142857143
Citroën C3,35900.0,Citroën,City,Petrol,4.0,Manual,55000.0,2020,2024-02-26,4,0.6527272727272727,8975.0
Skoda Octavia,124000.0,Skoda,Sedan,Petrol,8.0,Automatic,21000.0,2022,2024-02-26,2,5.904761904761905,15500.0
KIA Sportage,87000.0,KIA,SUV,Petrol,8.0,Automatic,53000.0,2018,2024-02-26,6,1.6415094339622642,10875.0
KIA Sportage,95000.0,KIA,SUV,Petrol,8.0,Automatic,65000.0,2019,2024-02-26,5,1.4615384615384615,11875.0
Porsche Cayenne GTS 4.8 cm3 33 cv,98000.0,Porsche,SUV,Petrol,33.0,Automatic,148000.0,2009,2024-02-26,15,0.6621621621621622,2969.6969696969695
Citroën Berlingo Multispace,53000.0,Citroën,Minivan,Petrol,7.0,Manual,145000.0,2018,2024-02-26,6,0.36551724137931035,7571.428571428572
