title,price,manufacturer,category,fuel_type,fiscal_horsepower,transmission,mileage,year,insertion_date,age,price_per_km,price_per_horsepower
Audi S3,0.15989159891598917,Audi,City,Petrol,0.3846153846153846,Automatic,0.16436066741554564,2014,2024-02-26,10,1.0666666666666667,6736.8421052631575
Mahindra Scorpio Pick-up DC,0.029810298102981032,Mahindra,Pickup,Diesel,0.07692307692307693,Manual,0.11641414833283104,2020,2024-02-26,4,0.3764705882352941,4571.428571428572
Fiat Doblo,0.06233062330623306,Fiat,Minivan,Petrol,0.051282051282051294,Manual,0.04380941943614894,2021,2024-02-26,3,1.75,9333.333333333334
Ford Fusion,0.04742547425474255,Ford,Sedan,Petrol,0.1282051282051282,Manual,0.273952711033179,2015,2024-02-26,9,0.225,5000.0
MG GS AWD 2.0,0.06910569105691056,MG,SUV,Petrol,0.23076923076923075,Automatic,0.1369626565111373,2017,2024-02-26,7,0.61,4692.307692307692
BMW Série 7 Individuel,0.04742547425474255,BMW,Sedan,Petrol,0.46153846153846156,Automatic,0.4109427655552207,2008,2024-02-26,16,0.15,2045.4545454545455
Mercedes-Benz GLC Coupé 200 hybrid,0.5962059620596206,Mercedes,SUV,Hybrid Petrol,0.1794871794871795,Automatic,0.13833255705635772,2024,2024-02-26,0,4.455445544554456,40909.09090909091
Geely GC6,0.03387533875338754,Geely,Sedan,Petrol,0.051282051282051294,Manual,0.06709772870489601,2020,2024-02-26,4,0.7142857142857143,5833.333333333333
Porsche Cayenne GTS,0.42818428184281837,Porsche,SUV,Petrol,0.7435897435897436,Automatic,0.10819474506150853,2016,2024-02-26,8,4.1265822784810124,9878.787878787878
Dongfeng S50,0.04607046070460705,Dongfeng,Sedan,Petrol,0.051282051282051294,Manual,0.12463355160415353,2019,2024-02-26,5,0.4835164835164835,7333.333333333333
Mercedes-Benz Classe S S350. Toit ouvrant,0.11924119241192412,Mercedes,Sedan,Petrol,0.3846153846153846,Automatic,0.2013479821364969,2009,2024-02-26,15,0.6666666666666666,5157.894736842105
Mercedes-Benz GLC Coupé 300e,0.3224932249322493,Mercedes,SUV,Hybrid Petrol,0.15384615384615383,Automatic,0.04380941943614894,2021,2024-02-26,3,7.75,24800.0
Volkswagen Golf 7 Highline,0.08943089430894308,Volkswagen,Compact,Petrol,0.051282051282051294,Automatic,0.17230609057782406,2018,2024-02-26,6,0.604133545310016,12666.666666666666
Volkswagen Golf 7,0.0676151761517615,Volkswagen,City,Petrol,0.051282051282051294,Automatic,0.2328556946765665,2019,2024-02-26,5,0.3523529411764706,9983.333333333334
Ford Figo,0.017615176151761516,Ford,City,Petrol,0.025641025641025633,Manual,0.20819748486259898,2014,2024-02-26,10,0.1513157894736842,4600.0
Land Rover Discovery,0.16531165311653118,Land Rover,SUV,Diesel,0.1794871794871795,Automatic,0.14792186087290063,2015,2024-02-26,9,1.2222222222222223,12000.0
Fiat Doblo,0.02845528455284553,Fiat,Utility,Diesel,0.025641025641025633,Manual,0.13559275596591688,2019,2024-02-26,5,0.31313131313131315,6200.0
Nissan Juke Nouveau modèle,0.08672086720867207,Nissan,SUV,Petrol,0.051282051282051294,Manual,0.0821666347023206,2021,2024-02-26,3,1.2333333333333334,12333.333333333334
Land Rover Range Rover Evoque R DYNAMIC S,0.2560975609756097,Land Rover,SUV,Petrol,0.20512820512820515,Automatic,0.1054549439710677,2020,2024-02-26,4,2.5844155844155843,16583.333333333332
Fiat Fiorino,0.03929539295392954,Fiat,Utility,Diesel,0.025641025641025633,Manual,0.03627496643743664,2022,2024-02-26,2,1.471698113207547,7800.0
Mercedes-Benz Classe E,0.03523035230352304,Mercedes,Sedan,Petrol,0.15384615384615383,Automatic,0.37806515246993067,2003,2024-02-26,21,0.13043478260869565,3600.0
